Group,Group2,Label,N,P,T1,T2,x,y,Numbers,Percent,cratio,Label2,Group,
All,<b>All</b>,"<span style=""color:white"">All</span>",18.7,,million US adults ,with ASCVD,1,1,18.7 million US adults ,with ASCVD,25,"<span style=""color:white"">All</span>",All,
All,<b>All</b>,"<span style=""color:white"">All</span>",15.3,81.6,million adults with very-high ASCVD risk,% of all US adults with ASCVD,1,1,15.3 million adults with very-high ASCVD risk,81.6% of all US adults with ASCVD,25,"<span style=""color:white"">All</span>",All,
All,<b>All</b>,"<span style=""color:white"">All</span>",11.5,61.4,million adults with very-high ASCVD risk were recommended for add-on therapy,% of all US adults with ASCVD,1,1,11.5 million adults with very-high ASCVD risk were recommended for add-on therapy,61.4% of all US adults with ASCVD,25,"<span style=""color:white"">All</span>",All,
All,<b>All</b>,"<span style=""color:white"">All</span>",0.6,5.2,million adults were receiving add-on therapy,% of adults with very-high ASCVD risk were recommended for add-on therapy ,1,1,0.6 million adults were receiving add-on therapy,5.2% of adults with very-high ASCVD risk were recommended for add-on therapy ,25,"<span style=""color:white"">All</span>",All,
Age,<b>Age</b>,20-54,2.9,, million US adults ,with ASCVD,1,1,2.9 million US adults ,with ASCVD,55,<b>20-54</b>,Age,
Age,<b>Age</b>,20-55,1.8,59.6, million adults with very-high ASCVD risk,% of all US adults with ASCVD,1,1,1.8 million adults with very-high ASCVD risk,59.6% of all US adults with ASCVD,55,<b>20-54</b>,Age,
Age,<b>Age</b>,20-56,1.6,54.8, million adults with very-high ASCVD risk were recommended for add-on therapy,% of all US adults with ASCVD,1,1,1.6 million adults with very-high ASCVD risk were recommended for add-on therapy,54.8% of all US adults with ASCVD,55,<b>20-54</b>,Age,
Age,<b>Age</b>,20-57,0.05,0.1, million adults were receiving add-on therapy,% of adults with very-high ASCVD risk were recommended for add-on therapy ,1,1,0.001 million adults were receiving add-on therapy,0.1% of adults with very-high ASCVD risk were recommended for add-on therapy ,55,<b>20-54</b>,Age,*make 0.001 to 0.05 for graph
Age,<b>Age</b>,55-64,4.9,, million US adults ,with ASCVD,1.85,1,4.9 million US adults ,with ASCVD,55,<b>55-64</b>,Age,
Age,<b>Age</b>,55-65,3.6,73.2, million adults with very-high ASCVD risk,% of all US adults with ASCVD,1.85,1,3.6 million adults with very-high ASCVD risk,73.2% of all US adults with ASCVD,55,<b>55-64</b>,Age,
Age,<b>Age</b>,55-66,3,61.4, million adults with very-high ASCVD risk were recommended for add-on therapy,% of of all US adults with ASCVD,1.85,1,3.0 million adults with very-high ASCVD risk were recommended for add-on therapy,61.4% of of all US adults with ASCVD,55,<b>55-64</b>,Age,
Age,<b>Age</b>,55-67,0.2,6.4, million adults were receiving add-on therapy,% of adults with very-high ASCVD risk were recommended for add-on therapy ,1.85,1,0.2 million adults were receiving add-on therapy,6.4% of adults with very-high ASCVD risk were recommended for add-on therapy ,55,<b>55-64</b>,Age,
Age,<b>Age</b>,65-74,6.3,, million US adults ,with ASCVD,3,1,6.3 million US adults ,with ASCVD,55,<b>65-74</b>,Age,
Age,<b>Age</b>,65-75,5.5,88.1, million adults with very-high ASCVD risk,% of all US adults with ASCVD,3,1,5.5 million adults with very-high ASCVD risk,88.1% of all US adults with ASCVD,55,<b>65-74</b>,Age,
Age,<b>Age</b>,65-76,3.8,60.5, million adults with very-high ASCVD risk were recommended for add-on therapy,% of all US adults with ASCVD,3,1,3.8 million adults with very-high ASCVD risk were recommended for add-on therapy,60.5% of all US adults with ASCVD,55,<b>65-74</b>,Age,
Age,<b>Age</b>,65-77,0.1,3.6, million adults were receiving add-on therapy,% of adults with very-high ASCVD risk were recommended for add-on therapy ,3,1,0.1 million adults were receiving add-on therapy,3.6% of adults with very-high ASCVD risk were recommended for add-on therapy ,55,<b>65-74</b>,Age,
