Group,Label,"LDL cholesterol, mg/dL",N,Percent,x,T,P1,P,S
Overall population,Overall population with ASCVD,<70,4.701,4.701 (25.1%),1,18.7,25.1%,25.10,%
Overall population,Overall population with ASCVD,70 - <100,6.471,6.471 (34.6%),1,18.7,34.6%,34.60,%
Overall population,Overall population with ASCVD,100 - <130,4.297,4.297 (23.0%),1,18.7,23.0%,23.00,%
Overall population,Overall population with ASCVD,<span>&#8805;</span>130,3.253,3.253 (17.4%),1,18.7,17.4%,17.40,%
Overall population,Overall population with ASCVD<br> and very high risk,<70,4.018,4.018 (26.3%),2,15.3,26.3%,26.30,%
Overall population,Overall population with ASCVD<br> and very high risk,70 - <100,5.421,5.421 (35.5%),2,15.3,35.5%,35.50,%
Overall population,Overall population with ASCVD<br> and very high risk,100 - <130,3.463,3.463 (22.7%),2,15.3,22.7%,22.70,%
Overall population,Overall population with ASCVD<br> and very high risk,<span>&#8805;</span>130,2.368,2.368 (15.5%),2,15.3,15.5%,15.50,%
Overall population,Overall population with ASCVD <br> recommended add-on therapy,<70,0.239,0.239 (2.1%),3,11.5,2.1%,2.10,%
Overall population,Overall population with ASCVD <br> recommended add-on therapy,70 - <100,5.421,5.421 (47.2%),3,11.5,47.2%,47.20,%
Overall population,Overall population with ASCVD <br> recommended add-on therapy,100 - <130,3.463,3.463 (30.1%),3,11.5,30.1%,30.10,%
Overall population,Overall population with ASCVD <br> recommended add-on therapy,<span>&#8805;</span>130,2.368,2.368 (20.6%),3,11.5,20.6%,20.60,%
Age stratified--overall population,20-54,<70,0.301,0.301 (10.3%),1,2.9,10.3%,10.30,%
Age stratified--overall population,20-54,70 - <100,0.757,0.757 (25.8%),1,2.9,25.8%,25.80,%
Age stratified--overall population,20-54,100 - <130,1.092,1.092 (37.1%),1,2.9,37.1%,37.10,%
Age stratified--overall population,20-54,<span>&#8805;</span>130,0.789,0.789 (26.8%),1,2.9,26.8%,26.80,%
Age stratified--overall population,55-64,<70,1.015,1.015 (20.7%),2,4.9,20.7%,20.70,%
